cluster_code,programme_name,requirements
10B,Bachelor of Science (Economics and Statistics),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,"Bachelor of Arts (Economics, With IT)",MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science (Economics & Statistics),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Arts (History & Economics),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science (Mathematics and Economics),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Arts (History and Economics),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science in Mathematics and Economics,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science (Financial Engineering),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,"Bachelor of Science (Mathematics & Business Studies, With IT)",MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science in Mathematics and Finance and Statistics),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Economics & Finance,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,"Bachelor of Science (Mathematics & Economics, With IT",MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,"Bachelor of Economics (Economics & Finance, With IT)",MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science in Financial Economics,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Economics and Finance,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science in Mathematics and Finance,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science in Finance,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science (Operations Research),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science (Finance),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10C,Bachelor of Actuarial Science,MAT ALTERNATIVE A - C+
10C,Bachelor of Science (Mathematics and Economics),MAT ALTERNATIVE A - C+
10C,Bachelor of Science in Actuarial Science,MAT ALTERNATIVE A - C+
10C,"Bachelor of Science (Mathematics & Business Studies, With IT)",MAT ALTERNATIVE A - C+
10C,Bachelor of Science (Actuarial Science),MAT ALTERNATIVE A - C+
10C,"Bachelor of Science in Mathematics (Pure Mathematics, Applied Mathematics",MAT ALTERNATIVE A - C+
10C,Bachelor of Science (Actuarial Science With IT),MAT ALTERNATIVE A - C+
10C,"Bachelor of Science (Mathematics & Economics, With IT",MAT ALTERNATIVE A - C+
10C,Bachelor of Science (Financial Engineering),MAT ALTERNATIVE A - C+
10C,Bachelor of Science in Mathematics and Finance and Statistics),MAT ALTERNATIVE A - C+
10C,"Bachelor of Science (Applied Statistics, With IT)",MAT ALTERNATIVE A - C+
10C,Bachelor of Science (Industrial Mathematics),MAT ALTERNATIVE A - C+
10C,Bachelor of Science (Applied Statistics),MAT ALTERNATIVE A - C+
10C,"Bachelor of Science (Mathematical Sciences, With IT)",MAT ALTERNATIVE A - C+
10C,Bachelor of Science in Applied Statistics,MAT ALTERNATIVE A - C+
10C,Bachelor of Science (Mathematics),MAT ALTERNATIVE A - C+
10C,Bachelor of Technology (Applied Statistics),MAT ALTERNATIVE A - C+
10C,Bachelor of Science in Mathematics,MAT ALTERNATIVE A - C+
10C,Bachelor of Science (Statistics),MAT ALTERNATIVE A - C+
10C,Bachelor of Arts (History and Economics),MAT ALTERNATIVE A - C+
11A,"Bachelor of Arts (Interior Design, With IT)",CHE – C (PLAIN)
11A,"Bachelor of Arts (Textiles, Apparel Design and Fashion Merchandising, With IT)",CHE – C (PLAIN)
11A,Bachelor of Science (Apparel & Fashion Technology),CHE – C (PLAIN)
11A,Bachelor of Science (Clothing Textile & Interior Design),CHE – C (PLAIN)
11A,Bachelor of Science (Fashion Design & Marketing),CHE – C (PLAIN)
11A,Bachelor of Science (Fashion Design and Textile Technology),CHE – C (PLAIN)
11A,Bachelor of Science in Fashion Design and Marketing,CHE – C (PLAIN)
12A,Bachelor of Science (Health Promotion and Sports Science),BIO/GSC – C (PLAIN)
12A,Bachelor of Science (Exercise & Sport Science),BIO/GSC – C (PLAIN)
12A,Bachelor of Science (Recreation and Sports Management),BIO/GSC – C (PLAIN)
12A,Bachelor of Sports Science & Management,BIO/GSC – C (PLAIN)
12A,Bachelor of Sports Management,BIO/GSC – C (PLAIN)
13A,Bachelor of Dental Surgery,BIO – B (PLAIN) CHE – B (PLAIN) MAT ALTERNATIVE A/PHY – B (PLAIN) ENG/KIS – B (PLAIN)
13A,Bachelor of Medicine &,BIO – B (PLAIN) CHE – B (PLAIN) MAT ALTERNATIVE A/PHY – B (PLAIN) ENG/KIS – B (PLAIN)
13A,Bachelor of Surgery,BIO – B (PLAIN) CHE – B (PLAIN) MAT ALTERNATIVE A/PHY – B (PLAIN) ENG/KIS – B (PLAIN)
13A,Bachelor of Medicine &,BIO – B (PLAIN) CHE – B (PLAIN) MAT ALTERNATIVE A/PHY – B (PLAIN) ENG/KIS – B (PLAIN)
13A,Bachelor of Surgery (M.B.Ch.B),BIO – B (PLAIN) CHE – B (PLAIN) MAT ALTERNATIVE A/PHY – B (PLAIN) ENG/KIS – B (PLAIN)
13A,Bachelor of Medicine and,BIO – B (PLAIN) CHE – B (PLAIN) MAT ALTERNATIVE A/PHY – B (PLAIN) ENG/KIS – B (PLAIN)
13A,Bachelor of Surgery,BIO – B (PLAIN) CHE – B (PLAIN) MAT ALTERNATIVE A/PHY – B (PLAIN) ENG/KIS – B (PLAIN)
13A,Bachelor of Medicine and,BIO – B (PLAIN) CHE – B (PLAIN) MAT ALTERNATIVE A/PHY – B (PLAIN) ENG/KIS – B (PLAIN)
13A,Bachelor of Surgery (M.B.Ch.B),BIO – B (PLAIN) CHE – B (PLAIN) MAT ALTERNATIVE A/PHY – B (PLAIN) ENG/KIS – B (PLAIN)
13A,Bachelor of Medicine and,BIO – B (PLAIN) CHE – B (PLAIN) MAT ALTERNATIVE A/PHY – B (PLAIN) ENG/KIS – B (PLAIN)
13A,Bachelor of Surgery (With IT),BIO – B (PLAIN) CHE – B (PLAIN) MAT ALTERNATIVE A/PHY – B (PLAIN) ENG/KIS – B (PLAIN)
13B,Bachelor of Pharmacy,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,"Bachelor of Science (Nursing, With IT)",BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,"Bachelor of Science (Pharmaceutical Sciences, With IT)",BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science (Nursing),BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science (Environmental Health),BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science in Nursing,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science in Environmental Health,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science (Nursing Science),BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science in Environmental Health Sciences,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science (Medical Laboratory Science & Technology),BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science (Optometry and Vision Sciences),BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science (Medical Laboratory Sciences),BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
